"id_molec","name"
"C1(CCC1)C(=O)NC1=CC(=C(C(=O)O)C=C1)[N+](=O)[O-]","4-cyclobutanecarbonylamino-2-nitro-benzoic acid"
"C1(CCCC1)C(=O)NC1=CC=C(C(=O)O)C=C1","4-cyclopentanecarbonylamino-benzoic acid"
"C1(CCCC1)CCC(=O)NC1=CC=C(C(=O)O)C=C1","4-(3-cyclopentylpropionylamino)-benzoic acid"
"C1(CCCC1)CCC(=O)Cl","3-cyclopentylpropionyl chloride"
"C1CC(CCC1)CCC(=O)NC1=CC=C(C(=O)O)C=C1","4-(3-cyclohexanepropionylamino)-benzoic acid"
"C1CC(CCC1)CCC(=O)Cl","3-cyclohexanepropionyl chloride"
"C1(=CCCCC1)C(=O)NC1=CC=C(C(=O)O)C=C1","4-(1-cyclohexene-1-carbonylamino)-benzoic acid"
"C1(=CCCCC1)C(=O)Cl","1-cyclohexene-1-carboxylic acid chloride"
"C1(CC=CCC1)C(=O)NC1=CC=C(C(=O)O)C=C1","4-(3-cyclohexene-1-carbonylamino)-benzoic acid"
"C1(CC=CCC1)C(=O)Cl","3-cyclohexene-1-carboxylic acid chloride"
"C1(CCCCCC1)C(=O)NC1=CC=C(C(=O)O)C=C1","4-cycloheptanecarbonylamino-benzoic acid"
"C1(CCCCCC1)C(=O)Cl","cycloheptanecarboxylic acid chloride"
"C1(CCC=CCC1)C(=O)NC1=CC=C(C(=O)O)C=C1","4-(4-cycloheptene-1-carbonylamino)-benzoic acid"
"C1(CCC=CCC1)C(=O)Cl","4-cycloheptene-1-carboxylic acid chloride"
"C12C(CC(CC1)C2)CC(=O)NC2=CC=C(C(=O)O)C=C2","4-[bicyclo-(2,2,1)hept-2-yl-acetamido]-benzoic acid"
"C12C(CC(CC1)C2)CC(=O)Cl","bicyclo(2,2,1)hept-2-yl-acetyl chloride"
"[N+](=O)([O-])C1=CC=C(C(=O)NC2=CC(=C(C(=O)O)C=C2)[N+](=O)[O-])C=C1","4-(4-nitrobenzoylamino)-2-nitrobenzoic acid"
"[N+](=O)([O-])C1=CC=C(C(=O)Cl)C=C1","4-nitrobenzoyl chloride"
"C1(CCC1)C(=O)NC1=CC=C(C=C1)CC(=O)O","(4-cyclobutanecarbonylaminophenyl)-acetic acid"
"NC1=CC=C(C=C1)CC(=O)O","(p-aminophenyl)-acetic acid"
"C1(CCCC1)C(=O)NC1=CC(=C(C(=O)O)C=C1)O","4-cyclopentanecarbonylamino-2-hydroxy-benzoic acid"
"NC1=CC(=C(C(=O)O)C=C1)O","4-amino-2-hydroxy-benzoic acid"
"C1(CCCC1)C(=O)Cl","cyclopentanecarboxylic acid chloride"
"COC=1C=C(C(=O)NC2=CC=C(C=CC(=O)O)C=C2)C=C(C1OC)OC","4-(3,4,5-trimethoxybenzoylamino)-cinnamic acid"
"Cl.NC1=CC=C(C=CC(=O)O)C=C1","p-aminocinnamic acid hydrochloride"
"COC=1C=C(C(=O)Cl)C=C(C1OC)OC","3,4,5-trimethoxybenzoyl chloride"
"CC(C(C(=S)NCN1CCOCC1)C1=NC=CC=C1)C","3-methyl-n-morpholinomethyl-2-(2-pyridyl)thiobutanamide"
"CC(C(C(=S)N)C1=NC=CC=C1)C","3-methyl-2-(2-pyridyl)thiobutanamide"
"N1CCOCC1","morpholine"
"O1CCN(CC1)CNC(C(C1=NC=CC=C1)C1=CC=CC=C1)=S","n-morpholinomethyl-2-phenyl-2-(2-pyridyl)thioacetamide"
"N1=C(C=CC=C1)CC(=S)N","2-(2-pyridyl)thioacetamide"
"CO","methanol"
"CCCCCC","hexane"
"S1C=NC(=C1)C(C#N)C","α-(4-thiazolyl)propionitrile"
"ClC(C)C=1N=CSC1","4-(α-chloroethyl)thiazole"
"CS(=O)C","dimethylsulfoxide"
"N1=CN=C(C=C1)C(=O)C","methyl 4-pyrimidyl ketone"
"C[Mg]Cl","methyl magnesium chloride"
"N1=CN=C(C=C1)C#N","4-pyrimidinecarbonitrile"
"S(O)(O)(=O)=O","sulfuric acid"
"CC1=CC=CC(=N1)C(C(=S)N)C=C","2-(6-methyl-2-pyridyl)-3-thiobutenamide"
"CC1=CC=CC(=N1)C(C=C)O","α-(6-methyl-2-pyridyl)-2-propenol"
"ClC(C=C)C1=NC(=CC=C1)C","2-(1-chloro-2-propenyl)-6-methylpyridine"
"CC1=CC=CC(=N1)C(C#N)C=C","2-(6-methyl-2-pyridyl)-3-butenenitrile"
"S","hydrogen sulfide"
"O1CCN(CC1)CNC(C(C=C)C1=NC(=CC=C1)C)=S","n-morpholinomethyl-2-(6-methyl-2-pyridyl)-3-thiobuteneamide"
"CC(C(C(=S)NCN1CCCCC1)C1=NC=CC=C1)C","3-methyl-n-piperidinomethyl-2-(2-pyridyl)thiobutanamide"
"N1CCCCC1","piperidine"
"C(C)N(CC)CNC(C(C(C)C)C1=NC=CC=C1)=S","n-diethylaminomethyl-3-methyl-2-(2-pyridyl)thiobutanamide"
"C(C)NCC","diethylamine"
"C(C1=CC=CC=C1)C(C(=S)NCN1CCOCC1)C1=NC=CC=C1","2-benzyl-n-morpholinomethyl-2-(2-pyridyl)thioacetamide"
"C(C1=CC=CC=C1)C(C(=S)N)C1=NC=CC=C1","2-benzyl-2-(2-pyridyl)thioacetamide"
"CC(C(C(=S)NCN(C1=CC=CC=C1)C)C1=NC=CC=C1)C","3-methyl-n-(n-methyl-n-phenylaminomethyl)-2-(2-pyridyl)thiobutanamide"
"CNC1=CC=CC=C1","n-methylaniline"
"C(C=CC1=CC=CC=C1)(=O)NN1C(=O)NC(=O)C1","1-cinnamamidohydantoin"
"Cl.NN1C(=O)NC(=O)C1","1-aminohydantoin hydrochloride"
"C(C=CC1=CC=CC=C1)(=O)Cl","cinnamoyl chloride"
"ClC=1C=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=CC1C","1-(3-chloro-4-methylcinnamamido)hydantoin"
"ClC=1C=C(C=CC(=O)O)C=CC1C","3-chloro-4-methylcinnamic acid"
"O=S(Cl)Cl","socl2"
"ClC1=CC=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=C1","1-(4-chlorocinnamamido)hydantoin"
"ClC1=CC=C(C=CC(=O)O)C=C1","4-chlorocinnamic acid"
"ClC1=C(C=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=C1)C(F)(F)F","1-(4-chloro-3-trifluoromethylcinnamamido)hydantoin"
"ClC1=C(C=C(C=CC(=O)O)C=C1)C(F)(F)F","4-chloro-3-trifluoromethylcinnamic acid"
"FC1=CC=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=C1","1-(p-fluorocinnamamido)hydantoin"
"FC1=CC=C(C=CC(=O)O)C=C1","p-fluorocinnamic acid"
"N1=CC=CC=C1","pyridine"
"ClC=1C=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=CC1CC","1-(3-chloro-4-ethylcinnamamido)hydantoin"
"ClC=1C=C(C=CC(=O)O)C=CC1CC","3-chloro-4-ethylcinnamic acid"
"FC=1C=C(C=CC(=O)NN2C(=O)NC(=O)C2)C=CC1","1 -(m-fluorocinnamamido)hydantoin"
"FC=1C=C(C=CC(=O)O)C=CC1","m-fluorocinnamic acid"
"ClC=1C=C(C=CC(=O)O)C=CC1F","3-chloro-4-fluorocinnamic acid"
"ClC=1C=C(C=O)C=CC1F","3-chloro-4-fluorobenzaldehyde"
"C(CC(=O)O)(=O)O","malonic acid"
"Cl.C1(=CC=CC=C1)C=C1CNCC(C1=O)=CC1=CC=CC=C1","3,5-bis(phenylmethylene)-4-piperidone, hydrochloride"
"C(C)(=O)N1CCC(CC1)=O","n-acetyl-4-piperidone"
"C(C1=CC=CC=C1)=O","benzaldehyde"
"C(C)(=O)N1N=C2C(CN(CC2=CC2=CC=CC=C2)C(=O)NC)C1C1=CC=CC=C1","2-acetyl-2,3,3a,4,6,7-hexahydro-n-methyl-3-phenyl-7-(phenylmethylene)-5h-pyrazolo[4,3-c]pyridine-5-carboxamide"
"CNC(=O)N1CC2C(C(C1)=CC1=CC=CC=C1)=NNC2C2=CC=CC=C2","2,3,3a,4,6,7-hexahydro-n-methyl-3-phenyl-7-(phenylmethylene)-5h-pyrazolo[4,3-c]pyridine-5-carboxamide"
"CN(C)CC(=O)N1CC2C(C(C1)=CC1=CC=CC=C1)=[N+](N(C2C2=CC=CC=C2)C)[O-]","5-[(dimethylamino)acetyl]-3,3a,4,5,6,7-hexahydro-2-methyl-3-phenyl-7-(phenylmethylene)-2h-pyrazolo[4,3-c]pyridine n-oxide"
"CN(C)CC(=O)N1CC2C(C(C1)=CC1=CC=CC=C1)=NN(C2C2=CC=CC=C2)C","5-[(dimethylamino)acetyl]-3,3a,4,5,6,7-hexahydro-2-methyl-3-phenyl-7-(phenylmethylene)-2h-pyrazolo[4,3-c]pyridine"
"C(C)(C)(C)N1OC(C2=C1C=C(C(=C2)Cl)C)(C2=CC=CC=C2)N2CCOCC2","1-tert.-butyl-5-chloro-6-methyl-3-morpholino-3-phenyl-2,1-benzisoxazoline"
"F[B-](F)(F)F.C(C)(C)(C)[N+]=1OC(=C2C1C=C(C(=C2)Cl)C)C2=CC=CC=C2","1-tert.-butyl-5-chloro-6-methyl-3-phenyl-2,1-benzisoxazolium tetrafluoroborate"
"C(C)(C)(C)N1OC(C2=C1C=CC(=C2)Cl)(C2=CC=CC=C2)N2CCOCC2","1-tert.-butyl-5-chloro-3-morpholino-3-phenyl-2,1-benzisoxazoline"
"F[B-](F)(F)F.C(C)(C)(C)[N+]=1OC(=C2C1C=CC(=C2)Cl)C2=CC=CC=C2","1-tert.-butyl-5-chloro-3-phenyl-2,1-benzisoxazolium tetrafluoroborate"
"ClC=1C(=CC=2C(=C(ON2)C2=CC=CC=C2)C1)C","5-chloro-6-methyl-3-phenyl-2,1-benzisoxazole"
"C(C)(C)(C)O","tert.-butanol"
"[N+](=O)([O-])C","nitromethane"
"F[B-](F)(F)F.[H+]","tetrafluoroboric acid"
"CNC(=O)SC(C(=O)O)C1=CC=CC=C1","[[(methylamino)carbonyl]thio]phenylacetic acid"
"SC(C(=O)O)C1=CC=CC=C1","α-mercaptophenylacetic acid"
"CN=C=O","methylisocyanate"
"CC1=NN=C(S1)SCC1=C(N2C(C(C2SC1)N)=O)C(=O)O","3-[[(5-methyl-1,3,4-thiadiazol-2-yl)thio]methyl]-7-amino-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
"CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O","7-aminocephalosporanic acid"
"CC=1SC(=NN1)S","2-methyl-1,3,4-thiadiazole-5-thiol"
"ClC1=CC2=C(OC(OC3=C(C2)C=C(C=C3)Cl)C(=O)NCC=3C=NC=CC3)C=C1","2,10-dichloro-n-(3-pyridylmethyl)-12h-dibenzo[d,g][1,3]dioxocin-6-carboxamide"
"ClC1=CC2=C(OC(OC3=C(C2)C=C(C=C3)Cl)C(=O)O)C=C1","2,10-dichloro-12h-dibenzo[d,g][1,3]dioxocin-6-carboxylic acid"
"NCC=1C=NC=CC1","3-aminomethylpyridine"
"CC1=CC2=C(OC(OC3=C(C2)C=C(C=C3)C)C(=O)O)C=C1","2,10-dimethyl-12h-dibenzo[d,g][1,3]dioxocin-6-carboxylic acid"
"C(C1=CC(=CC=C1O)C)C1=CC(=CC=C1O)C","2,2'-methylene bis-p-cresol"
"ClC(C(=O)O)Cl","dichloroacetic acid"
"C([O-])([O-])=O.[K+].[K+]","potassium carbonate"
"CC1=CC2=C(OC(OC3=C(C2)C=C(C=C3)C)C(=O)OC)C=C1","methyl 2,10-dimethyl-12h-dibenzo[d,g][1,3]dioxocin-6-carboxylate"
"CS(=O)CC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]","2-methylsulfinylmethylquinoxaline 1,4-dioxide"
"CC1=[N+](C2=CC=CC=C2[N+](=C1CSC)[O-])[O-]","2-methyl-3-methylthiomethylquinoxaline 1,4-dioxide"
"CC1=[N+](C2=CC=CC=C2[N+](=C1CS(=O)C)[O-])[O-]","2-methyl-3-methylsulfinylmethylquinoxaline 1,4-dioxide"
"C(C)S(=O)CC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]","2-ethylsulfinylmethylquinoxaline 1,4-dioxide"
"C(CC)SCC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]","2-n-propylthiomethylquinoxaline 1,4-dioxide"
"C(CC)S(=O)CC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]","2-n-propylsulfinylmethylquinoxaline 1,4-dioxide"
"CS(=O)CC1=[N+](C2=CC=CC=C2[N+](=C1C(=O)OC)[O-])[O-]","2-methylsulfinylmethyl-3-carbomethoxy-quinoxaline 1,4-dioxide"
"ClC1=CC(=CC=C1)C(=O)OO","m-chloroperbenzoic acid"
"CSCC1=[N+](C2=CC=CC=C2[N+](=C1C(=O)OC)[O-])[O-]","2-methylthiomethyl-3-carbomethoxyquinoxaline 1,4-dioxide"
"C(C)OCC","diethyl ether"
"C(C)S(=O)(=O)CC1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]","2-ethylsulfonylmethylquinoxaline 1,4-dioxide"
