"source","target","role"
"C(CCC)[Li]","US06231833B14","reactant"
"C(=O)[C@@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","US06231833B14","reactant"
"C1CCOC1","US06231833B14","reactant"
"C1CCOC1","US06231833B14","reactant"
"C1(=CC=CC=C1)\C=C/[C@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","US06231833B15","reactant"
"[H][H]","US06231833B15","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B16","reactant"
"ClC1=NC=C(C=C1Cl)Cl","US06231833B16","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B16","reactant"
"OCC1CCC2N(CCN(C2)C2=NC=C(C=C2Cl)Cl)C1","US06231833B17","reactant"
"FC1=CC=C(C=C1)O","US06231833B17","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B17","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B17","reactant"
"Cl","US06231833B17","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B18","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B18","reactant"
"C1(=CC=CC=C1)O","US06231833B18","reactant"
"Cl","US06231833B18","reactant"
"BrC1=NC=CC=C1","US06231833B19","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCNC3)C2)C=C1","US06231833B19","reactant"
"Cl","US06231833B19","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B110","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCNC3)C2)C=C1","US06231833B110","reactant"
"Cl","US06231833B110","reactant"
"ClC=1N=NC(=CC1)Cl","US06231833B111","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCNC3)C2)C=C1","US06231833B111","reactant"
"Cl","US06231833B111","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B112","reactant"
"FC1=C(C#N)C=C(C=C1)F","US06231833B112","reactant"
"Cl","US06231833B112","reactant"
"OCC1CCC2N(CCN(C2)C2=C(C=C(C=C2)F)C#N)C1","US06231833B113","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B113","reactant"
"FC1=CC=C(C=C1)O","US06231833B113","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B113","reactant"
"OC[C@@H]1CC[C@@H]2N(CCNC2)C1","US06231833B114","reactant"
"FC1=C(C=C(C=C1)F)[N+](=O)[O-]","US06231833B114","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B114","reactant"
"Cl","US06231833B114","reactant"
"OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=C(C=C(C=C2)F)[N+](=O)[O-])C1","US06231833B115","reactant"
"[H][H]","US06231833B115","reactant"
"OC[C@@H]1CC[C@@H]2N(CCN(C2)C2=C(C=C(C=C2)F)N)C1","US06231833B116","reactant"
"FC1=CC=C(C=C1)O","US06231833B116","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B116","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B116","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=CC=C(C=C3)[N+](=O)[O-])C2)C=C1","US06231833B117","reactant"
"FC1=CC=C(OC[C@@H]2CC[C@@H]3N(CCN(C3)C3=CC=C(C=C3)N)C2)C=C1","US06231833B118","reactant"
"N(=O)OCCC(C)C","US06231833B118","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B119","reactant"
"C(CCC)[Li]","US06231833B119","reactant"
"COC1=NC(=CC=C1)OC","US06231833B119","reactant"
"Cl","US06231833B119","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B120","reactant"
"ClC1=NC=CC(=N1)Cl","US06231833B120","reactant"
"C1(=CC=CC=C1)O","US06231833B120","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B121","reactant"
"ClC1=NC=CN=C1","US06231833B121","reactant"
"C1(=CC=CC=C1)O","US06231833B121","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B122","reactant"
"ClC1=NC(=CN=C1)Cl","US06231833B122","reactant"
"C1(=CC=CC=C1)O","US06231833B122","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B123","reactant"
"ClC=1N=NC(=CC1)Cl","US06231833B123","reactant"
"FC1=CC=C(C=C1)O","US06231833B123","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B124","reactant"
"ClC=1N=NC(=CC1)Cl","US06231833B124","reactant"
"C1(=CC=CC=C1)O","US06231833B124","reactant"
"O(C1=CC=CC=C1)CC1CCC2N(CCN(C2)C2=NC(=NC=C2)Cl)C1","US06231833B125","reactant"
"[H][H]","US06231833B125","reactant"
"FC1=CC=C(OCC2CCC3N(CCN(C3)C=3N=NC(=CC3)Cl)C2)C=C1","US06231833B126","reactant"
"C(C)N(CC)CC","US06231833B126","reactant"
"[H][H]","US06231833B126","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CO","US06231833B127","reactant"
"FC=1C=C(C=C(C1)F)O","US06231833B127","reactant"
"ClC=1N=NC(=CC1)Cl","US06231833B127","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CO","US06231833B128","reactant"
"FC=1C=C(C=C(C1)F)O","US06231833B128","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B128","reactant"
"C1[C@H]2N(CCN1)C[C@@H](CC2)CN2C(OC1=C2C=CC=C1)=O","US06231833B129","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B129","reactant"
"Cl","US06231833B129","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CO","US06231833B130","reactant"
"C(C)N(CC)CC","US06231833B130","reactant"
"CS(=O)(=O)Cl","US06231833B130","reactant"
"[OH-].[Na+]","US06231833B130","reactant"
"FC=1C=C2C=CNC2=CC1","US06231833B131","reactant"
"[H-].[Na+]","US06231833B131","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)COS(=O)(=O)C","US06231833B131","reactant"
"Cl","US06231833B131","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C=CC1=CC(=CC=C21)F","US06231833B132","reactant"
"O","US06231833B132","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CO","US06231833B134","reactant"
"C(C)N(CC)CC","US06231833B134","reactant"
"CS(=O)(=O)Cl","US06231833B134","reactant"
"[OH-].[Na+]","US06231833B134","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C(CC1=CC=CC=C21)=O","US06231833B135","reactant"
"Cl","US06231833B135","reactant"
"Cl.Cl.C1[C@H]2N(CCN1)C[C@@H](CC2)CN2C(CC1=CC=CC=C21)=O","US06231833B136","reactant"
"ClC1=NC=CC=N1","US06231833B136","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B136","reactant"
"OC[C@H]1CC[C@@H]2N(CCN(C2)C2=NC=C(C=N2)F)C1","US06231833B137","reactant"
"FC1=CC=C(C=C1)O","US06231833B137","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B137","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B137","reactant"
"Cl","US06231833B137","reactant"
"FC=1C=C2C(=CNC2=CC1)CC1CCC2N(CCN(C2)C2=NC=CC=N2)C1","US06231833B138","reactant"
"[H-].[Na+]","US06231833B138","reactant"
"CI","US06231833B138","reactant"
"CS(=O)(=O)OCC1CCC2N(CCN(C2)C2=NC=CC=N2)C1","US06231833B139","reactant"
"[C-]#N.[Na+]","US06231833B139","reactant"
"C([O-])(O)=O.[Na+]","US06231833B139","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@H](CC2)CO","US06231833B141","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B142","reactant"
"ClC1=NC=CC=N1","US06231833B142","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B142","reactant"
"OC[C@@H]1CC[C@@H]2N(CCNC2)C1","US06231833B143","reactant"
"ClC1=NC=CC=N1","US06231833B143","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B143","reactant"
"Cl.Cl.OC[C@@H]1CC[C@@H]2N(CCNC2)C1","US06231833B144","reactant"
"ClC1=NC=C(C=N1)F","US06231833B144","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B144","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)COC2=CC=C(C=C2)F","US06231833B145","reactant"
"C(=O)(OC(C)(C)C)N1C[C@@H]2N(CC1)C[C@H](CC2)CO","US06231833B146","reactant"
"FC1=CC=C(C=C1)O","US06231833B146","reactant"
"C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1","US06231833B146","reactant"
"N(=NC(=O)OCC)C(=O)OCC","US06231833B146","reactant"
"Cl","US06231833B146","reactant"
"C(=O)(OC(C)(C)C)N1C[C@@H]2N(CC1)C[C@H](CC2)COC2=CC=C(C=C2)F","US06231833B147","reactant"
"Cl","US06231833B147","reactant"
"C(=O)(OC(C)(C)C)N1C[C@@H]2N(CC1)C[C@@H](CC2)COC2=CC=C(C=C2)F","US06231833B148","reactant"
"OCC1CCC2N(CCNC2)C1","US06231833B149","reactant"
"BrC1=NC=CC=C1","US06231833B149","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B149","reactant"
"C(=O)(OC(C)(C)C)N1C[C@H]2N(CC1)C[C@@H](CC2)CN2C(OC1=C2C=CC=C1)=O","US06231833B150","reactant"
"Cl","US06231833B150","reactant"
"OC[C@H]1CC[C@@H]2N(CCNC2)C1","US06231833B151","reactant"
"ClC1=NC=C(C=N1)F","US06231833B151","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B151","reactant"
"Cl.Cl.OC[C@H]1CC[C@@H]2N(CCNC2)C1","US06231833B152","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B152","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B152","reactant"
"Cl.Cl.OC[C@@H]1CC[C@@H]2N(CCNC2)C1","US06231833B153","reactant"
"ClC1=NC=C(C=C1)Cl","US06231833B153","reactant"
"C([O-])([O-])=O.[Na+].[Na+]","US06231833B153","reactant"
"[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(O)=NC=NC12","US06232060B11","reactant"
"[C@@H]1([C@H](O)[C@H](O)[C@@H](CO)O1)N1C=NC=2C(N)=NC=NC12","US06232060B11","reactant"
"N[C@@H](C)C(=O)O","US06232060B11","reactant"
"ClP(OCCC#N)Cl","US06232062B12","reactant"
"C(C)(C)N(CC)C(C)C","US06232062B12","reactant"
"C(C)(C)NC(C)C","US06232062B12","reactant"
"ClP(OCCC#N)Cl","US06232062B13","reactant"
"C(C)(C)N(CC)C(C)C","US06232062B13","reactant"
"C(C)(C)NC(C)C","US06232062B13","reactant"
"OCCCCCCCCCCCCCCCC(=O)O","US06232062B14","reactant"
"Br","US06232062B14","reactant"
"C(C(=O)O)(=O)O","US06232258B14","reactant"
"S(O)(O)(=O)=O","US06232258B14","reactant"
"C12CC3CC(CC(C1)C3)C2","US06232258B14","reactant"
"CSC(SC)=C(C#N)C#N","US06232271B11","reactant"
"CNN","US06232271B11","reactant"
"NC1=NN(C(=C1C#N)SC)C","US06232271B12","reactant"
"[OH-].[Na+]","US06232271B12","reactant"
"P(=O)(O)(O)[O-].[Na+]","US06232271B12","reactant"
"N(=O)[O-].[Na+]","US06232271B13","reactant"
"NC1=NN(C(=C1)SC)C","US06232271B13","reactant"
"O.[Sn](Cl)Cl","US06232271B13","reactant"
"[OH-].[Na+]","US06232271B13","reactant"
"C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1Cl)SC)C","US06232271B14","reactant"
"ClC1=CC(=CC=C1)C(=O)OO","US06232271B14","reactant"
"C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1Cl)S(=O)(=O)C)C","US06232271B15","reactant"
"C(CO)O","US06232271B15","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)O)C","US06232271B15","reactant"
"C([O-])(O)=O.[Na+]","US06232271B15","reactant"
"C(#N)C=1C=NN(C1C=O)C1=NN(C(=C1Cl)S(=O)(=O)C)C","US06232271B16","reactant"
"OCCCO","US06232271B16","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)O)C","US06232271B16","reactant"
"O","US06232271B16","reactant"
"C(#N)C=1C=NN(C1C(OCC)OCC)C1=NN(C(=C1Cl)S(=O)(=O)C)C","US06232271B17","reactant"
"S(O)(O)(=O)=O","US06232271B17","reactant"
"C=1C=CC2=C(C1)C(=NS2)N3CCN(CC3)CCC=4C=C5C(=CC4Cl)NC(=O)C5","US06232304B11","reactant"
"CS(=O)(=O)O","US06232304B11","reactant"
"C=1C=CC2=C(C1)C(=NS2)N3CCN(CC3)CCC=4C=C5C(=CC4Cl)NC(=O)C5","US06232304B12","reactant"
"C1CCOC1","US06232304B12","reactant"
"C(C)S(=O)(=O)O","US06232304B12","reactant"
"C=1C=CC2=C(C1)C(=NS2)N3CCN(CC3)CCC=4C=C5C(=CC4Cl)NC(=O)C5","US06232304B13","reactant"
"C([C@H](O)[C@@H](O)C(=O)O)(=O)O","US06232304B13","reactant"
"CC1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=O","US06232296B11","reactant"
"COCCOB(OCCOC)OCCOC","US06232296B11","reactant"
"C(C1=CC=CC=C1)OC(=O)N[C@H]1[C@H]2SC([C@@H](N2C1=O)C(=O)OC)(C)C","US06232305B11","reactant"
"[H][H]","US06232305B11","reactant"
"[N+](=O)([O-])C1=CC=C(C=C1)OC(OCC=1OC(OC1C)=O)=O","US06232306B11","reactant"
"NC1=NC(=NS1)/C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)/C=C\1/C(N(CC1)[C@H]1CNCC1)=O)=N/O","US06232306B11","reactant"
"CC(=O)C","US06232306B11","reactant"
"S(O)(O)(=O)=O","US06232297B11","reactant"
"C(C#C)C1CCC(CC1)CO","US06232297B11","reactant"
"N(=O)OCCC(C)C","US06232297B13","reactant"
"C(C)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(C)=O)OC(C)=O)N1C2=NC(=NC(=C2N=C1)Cl)N","US06232297B13","reactant"
"II","US06232297B13","reactant"
"C(I)I","US06232297B13","reactant"
"[O-]S(=O)(=S)[O-].[Na+].[Na+]","US06232297B13","reactant"
"C(C)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(C)=O)OC(C)=O)N1C2=NC(=NC(=C2N=C1)Cl)I","US06232297B14","reactant"
"N","US06232297B14","reactant"
"NC1=C2N=CN(C2=NC(=N1)I)[C@@H]1O[C@@H]([C@H]2OC(O[C@@H]12)(C)C)CO","US06232297B15","reactant"
"[OH-].[K+]","US06232297B15","reactant"
"[O-][Mn](=O)(=O)=O.[K+]","US06232297B15","reactant"
"OO","US06232297B15","reactant"
"NC1=C2N=CN(C2=NC(=N1)I)[C@@H]1O[C@H]([C@@H]2OC(O[C@@H]12)(C)C)C(=O)O","US06232297B16","reactant"
"NC1=C2N=CN(C2=NC(=N1)I)[C@H]1[C@@H]([C@@H]([C@H](O1)C(=O)NCC)O)O","US06232297B17","reactant"
"C(C#C)C1CCC(CC1)C(=O)OC","US06232297B17","reactant"
"C(C)(=O)OC(C)=O","US06232297B18","reactant"
"N1=CC=CC=C1","US06232297B18","reactant"
"C(C#C)C1CCC(CC1)CO","US06232297B18","reactant"
"O","US06232297B18","reactant"
"[H-].[Na+]","US06232310B11","reactant"
"C(C)(=O)NC1=C(C=C(C=C1)Cl)S(=O)O","US06232310B11","reactant"
"ICC#N","US06232310B11","reactant"
"ClC1=CC(=C(C=C1)NC(C)=O)S(=O)(=O)CC#N","US06232310B12","reactant"
"C","US06232310B12","reactant"
"[H-].[Na+]","US06232310B13","reactant"
"NC1=C(C=CC(=C1)C(F)(F)F)S","US06232310B13","reactant"
"ICC#N","US06232310B13","reactant"
"NC1=C(C=CC(=C1)C(F)(F)F)SCC#N","US06232310B14","reactant"
"C(C)(=O)OC(C)=O","US06232310B14","reactant"
"C(#N)CSC1=C(C=C(C=C1)C(F)(F)F)NC(C)=O","US06232310B16","reactant"
"I(=O)(=O)(=O)[O-].[Na+]","US06232310B16","reactant"
"[K+].[Br-]","US06232310B16","reactant"
"C1(=CC=CC=C1)C1=C(SC2=C(N1)C=CC=C2)C#N","US06232310B18","reactant"
"ClC1=CC(=CC=C1)C(=O)OO","US06232310B18","reactant"
"NC=1SC=C(C1S(=O)(=O)CC#N)C","US06232310B110","reactant"
"C(C)(OC)(OC)OC","US06232310B110","reactant"
"NC1=C(C=CC(=C1)C(F)(F)F)SCC#N","US06232310B111","reactant"
"C(C)(C)N(CC)C(C)C","US06232310B111","reactant"
"C(CCC)(=O)Cl","US06232310B111","reactant"
"C(CCC)(=O)Cl","US06232310B111","reactant"
"C(#N)CS(=O)(=O)C1=C(C=C(C=C1)C(F)(F)F)NC(CCC)=O","US06232310B112","reactant"
"Cl","US06232310B112","reactant"
"NC=1SC2=C(N1)C(=CC(=C2)F)F","US06232310B113","reactant"
"[OH-].[K+]","US06232310B113","reactant"
"ICC#N","US06232310B113","reactant"
"C(C)(=O)Cl","US06232310B114","reactant"
"N1=CC=CC=C1","US06232310B114","reactant"
"NC1=C(C=C(C=C1F)F)SCC#N","US06232310B114","reactant"
"C(C)(=O)Cl","US06232310B114","reactant"
"N1=CC=CC=C1","US06232310B114","reactant"
"C(#N)CSC1=C(C(=CC(=C1)F)F)NC(C)=O","US06232310B115","reactant"
"OO","US06232310B115","reactant"
"O","US06232310B115","reactant"
"C(C)(=O)O","US06232310B115","reactant"
"C(#N)CS(=O)(=O)C1=C(C(=CC(=C1)F)F)NC(C)=O.FC1=CC(=CC2=C1NC(=C(S2(=O)=O)C#N)C)F","US06232310B116","reactant"
"NC=1SC2=C(N1)C=CC(=C2)F","US06232310B117","reactant"
"[OH-].[K+]","US06232310B117","reactant"
"ICC#N","US06232310B117","reactant"
"C(C)(=O)Cl","US06232310B118","reactant"
"N1=CC=CC=C1","US06232310B118","reactant"
"NC1=C(C=C(C=C1)F)SCC#N","US06232310B118","reactant"
"C(#N)CSC1=C(C=CC(=C1)F)NC(C)=O","US06232310B119","reactant"
"OO","US06232310B119","reactant"
"O","US06232310B119","reactant"
"C(C)(=O)O","US06232310B119","reactant"
"C(#N)CS(=O)(=O)C1=C(C=CC(=C1)F)NC(C)=O","US06232310B120","reactant"
"[BH4-].[Na+]","US06232310B121","reactant"
"C(C)(=O)NC1=C(C=C(C=C1)OC)SSC1=C(C=CC(=C1)OC)NC(C)=O","US06232310B121","reactant"
"ICC#N","US06232310B121","reactant"
"C(#N)CS(=O)(=O)C1=C(C=CC(=C1)OC)NC(C)=O","US06232310B122","reactant"
"[OH-].[Na+]","US06232310B122","reactant"
"NC=1SC2=C(N1)C=C(C=C2)F","US06232310B123","reactant"
"[OH-].[K+]","US06232310B123","reactant"
"C(C)(=O)O","US06232310B123","reactant"
"ICC#N","US06232310B123","reactant"
"C(C)(=O)O","US06232310B123","reactant"
"C(C)(=O)Cl","US06232310B124","reactant"
"N1=CC=CC=C1","US06232310B124","reactant"
"NC1=C(C=CC(=C1)F)SCC#N","US06232310B124","reactant"
"C(#N)CS(=O)(=O)C1=C(C=C(C=C1)F)NC(C)=O","US06232310B125","reactant"
"[OH-].[Na+]","US06232310B125","reactant"
"BrC(C(=O)C1=CC=C(C=C1)Cl)C","US06232314B11","reactant"
"N1(CCNCC1)C(=O)OCC","US06232314B11","reactant"
"C(C)N(CC)CC","US06232314B11","reactant"
"[OH-].[Na+]","US06232314B11","reactant"
"ClC1=CC=C(C=C1)C(C(C)N1CCNCC1)=O","US06232314B12","reactant"
"BrCC(=O)C1=CC=C(C=C1)Cl","US06232314B12","reactant"
"ClCCC(=O)C1=CC=C(C=C1)Cl","US06232314B13","reactant"
"N1CCNCC1","US06232314B13","reactant"
"CC(C)(C)C=1C=C(C=C(C1O)C(C)(C)C)CN1CCNCC1","US06232314B15","reactant"
"CC(C)(C)C=1C=C(C=O)C=C(C1O)C","US06232314B15","reactant"
"CC(C)(C)C=1C=C(C=O)C=C(C1O)C(C)(C)C","US06232314B15","reactant"
"CC(C)(C)C=1C=C(C=C(C1O)C(C)(C)C)CN1CCNCC1","US06232314B16","reactant"
"OC1=C(C=C(C=O)C=C1C)C","US06232314B16","reactant"
"CC(C)(C)C=1C=C(C=O)C=C(C1O)C(C)(C)C","US06232314B16","reactant"
"C(C)(=O)OC1=C(C(=C(C=C1C)O)C)C","US06232314B17","reactant"
"BrC(C)Br","US06232314B17","reactant"
"C([O-])([O-])=O.[K+].[K+]","US06232314B17","reactant"
"C1COCCOCCOCCOCCOCCO1","US06232314B17","reactant"
"N#N","US06232314B17","reactant"
"BrC=1C=C(C=NC1)OC(C)C","US06232316B12","reactant"
"CN(C(C)CC=C)C(=O)OC(C)(C)C","US06232316B12","reactant"
"C1(=C(C=CC=C1)P(C1=C(C=CC=C1)C)C1=C(C=CC=C1)C)C","US06232316B12","reactant"
"BrC=1C=C(C=NC1)OC","US06232316B13","reactant"
"CC(CC=C)O","US06232316B13","reactant"
"C1(=C(C=CC=C1)P(C1=C(C=CC=C1)C)C1=C(C=CC=C1)C)C","US06232316B13","reactant"
"CN1CC(=CC(=C1)OC)/C=C/CC(C)O","US06232316B14","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)Cl)C","US06232316B14","reactant"
"BrC=1C=NC=CC1","US06232316B15","reactant"
"CC(CC=C)O","US06232316B15","reactant"
"C(C)N(CC)CC","US06232316B15","reactant"
"C(C)#N","US06232316B15","reactant"
"N1=CC(=CC=C1)/C=C/CC(C)O","US06232316B16","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)Cl)C","US06232316B16","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)OC(C)C\C=C\C=1C=NC=CC1)C","US06232316B17","reactant"
"CN","US06232316B17","reactant"
"CNC(C)C\C=C\C=1C=NC=CC1","US06232316B18","reactant"
"O=C([C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O)O","US06232316B18","reactant"
"O","US06232316B18","reactant"
"BrC=1C=NC=CC1","US06232316B19","reactant"
"C[C@@H](CC=C)O","US06232316B19","reactant"
"C1(=C(C=CC=C1)P(C1=C(C=CC=C1)C)C1=C(C=CC=C1)C)C","US06232316B19","reactant"
"C(C)N(CC)CC","US06232316B19","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)Cl)C","US06232316B110","reactant"
"N1=CC(=CC=C1)/C=C/C[C@H](C)O","US06232316B110","reactant"
"C(=O)(O)[O-].[Na+]","US06232316B110","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)O[C@@H](C)C\C=C\C=1C=NC=CC1)C","US06232316B111","reactant"
"CN","US06232316B111","reactant"
"O=C([C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O)O","US06232316B112","reactant"
"CN[C@H](C)C\C=C\C=1C=NC=CC1","US06232316B112","reactant"
"CC(C)O","US06232316B112","reactant"
"CC(C)O","US06232316B112","reactant"
"BrC=1C=NC=CC1","US06232316B113","reactant"
"C[C@H](CC=C)O","US06232316B113","reactant"
"C(C)N(CC)CC","US06232316B113","reactant"
"C(C)#N","US06232316B113","reactant"
"N1=CC(=CC=C1)/C=C/C[C@@H](C)O","US06232316B114","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)Cl)C","US06232316B114","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)O[C@H](C)C\C=C\C=1C=NC=CC1)C","US06232316B115","reactant"
"CN","US06232316B115","reactant"
"CN[C@@H](C)C\C=C\C=1C=NC=CC1","US06232316B116","reactant"
"O=C([C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O)O","US06232316B116","reactant"
"O","US06232316B116","reactant"
"C1(=CC=C(C=C1)S(=O)(=O)Cl)C","US06232316B117","reactant"
"CC(CC=C)O","US06232316B117","reactant"
"Cl","US06232316B117","reactant"
"C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C","US06232316B118","reactant"
"CNC(C)CC=C","US06232316B118","reactant"
"[K]","US06232316B119","reactant"
"CC([O-])C.[K+]","US06232316B119","reactant"
"BrC=1C=NC=C(C1)Br","US06232316B119","reactant"
"NC=1C=C(C=NC1)Br","US06232316B120","reactant"
"N(=O)OCCC(C)C","US06232316B120","reactant"
"CC(C)O","US06232316B120","reactant"
"BrC=1C=C(C=NC1)OC(C)C","US06232316B121","reactant"
